period,residual
1995-01,
1995-02,
1995-03,
1995-04,
1995-05,
1995-06,
1995-07,
1995-08,
1995-09,
1995-10,
1995-11,
1995-12,
1996-01,0.604037089388811
1996-02,2.178228297822354
1996-03,1.2167212431784407
1996-04,0.6273677872195194
1996-05,0.09284467208725289
1996-06,-1.6973033889482423
1996-07,0.8614402298259876
1996-08,-1.3531231077682015
1996-09,-0.9454351428865273
1996-10,-0.24404678071929098
1996-11,-2.0758882862391843
1996-12,-0.049182252443703334
1997-01,0.06818897367868004
1997-02,-0.18500774393436714
1997-03,2.538296368208531
1997-04,-0.509188164653608
1997-05,0.0824214140786026
1997-06,-1.3486125587279325
1997-07,0.7032447903725298
1997-08,-0.6905092815439211
1997-09,-0.2327899441017962
1997-10,0.022574082395664163
1997-11,-0.3948263966881065
1997-12,-1.3750876302858082
1998-01,0.34082704981081235
1998-02,2.651548537315577
1998-03,0.6387744264407118
1998-04,2.2170524291497884
1998-05,-0.7133560830475076
1998-06,-0.13886498883388754
1998-07,0.4966080485276798
1998-08,-1.0458069105761751
1998-09,-0.5823037312142283
1998-10,0.6504002006934719
1998-11,-0.9673373551514963
1998-12,-1.240400927040799
1999-01,0.9393342063812966
1999-02,-0.2797512176045771
1999-03,3.947134065678455
1999-04,-1.1261684492801436
1999-05,0.772672474843425
1999-06,-0.33362957616812494
1999-07,-0.6062400491054518
1999-08,-0.660112026107921
1999-09,-0.7731476888180993
1999-10,0.04603247422183543
1999-11,-0.5259589094554862
1999-12,-2.3770052408863585
2000-01,2.169371207721703
2000-02,-2.120775849465506
2000-03,3.8249431650721206
2000-04,1.0172042170392857
2000-05,-1.2573940444925213
2000-06,-0.46646878652940416
2000-07,0.0031066607316887485
2000-08,-0.5235072419071685
2000-09,-0.8584830305025264
2000-10,0.3196341518064578
2000-11,-0.9797262834499776
2000-12,-2.0419045810546663
2001-01,0.35787185938708177
2001-02,0.7068587686634267
2001-03,2.3242217508800316
2001-04,0.08178560157971049
2001-05,-0.048976746596782306
2001-06,-0.7795907193409448
2001-07,0.3805972043227328
2001-08,-1.1225934881083894
2001-09,-0.20739641799938013
2001-10,1.157398592977696
2001-11,-1.4512911637739343
2001-12,-0.09906526462515686
2002-01,-0.9494480390571809
2002-02,2.2461779665059787
