period,observed,Persistence,Climatology,ARIMA,LSTM,ARIMA-LSTM,ARIMA-LSTM-SVAO,LSTM_ensemble_sd,hybrid_ensemble_sd
2021-01,28.546774193548387,28.79642857142857,27.86627565982405,,28.611682603195796,,,0.27350696173905664,
2021-02,29.767857142857142,28.546774193548387,30.227966860725484,,27.997099524515296,,,0.15503499259865977,
2021-03,31.92258064516129,29.767857142857142,31.914516129032258,,29.219635158931055,,,0.3992877984467287,
2021-04,31.868333333333336,31.92258064516129,30.93597751710655,,31.96789571815922,,,0.31782465393060355,
2021-05,28.80161290322581,31.868333333333336,29.42961876832845,,32.42316334820563,,,0.9426208928281455,
2021-06,26.891666666666666,28.80161290322581,27.710882967607105,,29.335243530706055,,,0.5409125877956578,
2021-07,25.2241935483871,26.891666666666666,26.628885630498534,,26.663583205274996,,,0.2506023450490558,
2021-08,24.42419354838709,25.2241935483871,25.97683284457478,26.168963692254103,25.628691453426597,25.419700697215355,25.394959600957,0.29144638103193604,0.1958594606849201
2021-09,25.348333333333336,24.42419354838709,26.360151515151514,25.7717184019824,26.233418138724183,25.73148088710345,25.6631401145154,0.5079693726255532,0.2232206508017905
2021-10,26.975806451612904,25.348333333333336,27.983468556533072,27.242410959122857,28.11440660709335,27.960720411365976,28.04641598360004,0.2776262824250617,0.2948434629236021
2021-11,27.17,26.975806451612904,28.77364288041707,28.04086607545196,28.690582915890598,28.527351220623093,28.53179625914193,0.3546131162689135,0.3544276434043813
2021-12,25.567741935483877,27.17,27.96641984359726,27.51464647451833,27.823837724962544,27.421409967204173,27.682241624621888,0.18130958094460176,0.3350498324197375
2022-01,25.161290322580644,25.567741935483877,27.86627565982405,26.144734410550683,28.049748853627715,27.374817898976342,27.22475675396573,0.2751998550458534,0.2622920771051957
2022-02,31.225,25.161290322580644,30.227966860725484,26.545996660704084,29.426488015488275,28.90063676501601,28.818508620045375,0.5072171725269015,0.4504112758429027
2022-03,32.0,31.225,31.914516129032258,32.63578261983825,31.975557010039203,32.172980687140694,32.709776917852395,0.3279909668365163,0.2332834283457688
2022-04,29.835,32.0,30.93597751710655,30.21336578119636,31.84939467093637,31.901413216701005,31.63193889956308,0.53924374143553,0.331554660739327
2022-05,29.25483870967742,29.835,29.42961876832845,27.869200606996163,29.63089473568624,29.28024401991155,29.081527666294704,0.4848177355293987,0.5431642720756537
2022-06,27.49833333333333,29.25483870967742,27.710882967607105,29.68525942954067,28.39992258478557,28.367220350441453,28.50226445052842,0.4143373965497778,0.5194707706648959
2022-07,26.366129032258065,27.49833333333333,26.628885630498534,27.02061348242245,27.122107732286374,27.055277323812803,27.196164539726293,0.38007660395910914,0.5603346574566301
2022-08,25.780645161290323,26.366129032258065,25.97683284457478,26.852839433984247,26.247295228177983,26.00456608682484,25.749995803361525,0.14294599496087343,0.2335014495213478
2022-09,26.24833333333333,25.780645161290323,26.360151515151514,27.164731283884105,26.27957668234264,26.51147033871072,26.547361736987508,0.46638953260173227,0.5958893463277352
2022-10,28.182258064516127,26.24833333333333,27.983468556533072,27.103910779453024,27.51906249433756,27.71101123140617,27.638833160268327,0.4736855819980687,0.5953013199634161
2022-11,28.71333333333333,28.182258064516127,28.77364288041707,29.11488202875844,28.90110142338661,29.225568653882764,29.082421212988525,0.21336655790052358,0.3293095733045559
2022-12,27.320967741935487,28.71333333333333,27.96641984359726,28.599637647802545,28.543405440574695,28.20994753242045,28.301383906641703,0.27195711921238147,0.2616084821232725
2023-01,27.833870967741937,27.320967741935487,27.86627565982405,27.04909295409118,28.154124430494925,28.57433852371434,28.337965169645017,0.2751432303633098,0.4737966865273977
2023-02,29.875,27.833870967741937,30.227966860725484,28.652130947410924,30.788432370674222,30.747152755944285,30.784755527943616,0.21783871112744527,0.1997247265892529
2023-03,31.18870967741936,29.875,31.914516129032258,30.050831930138788,31.73065584738408,30.44631156309531,30.02485205000955,0.27598228629392857,0.6711901039579433
2023-04,29.84,31.18870967741936,30.93597751710655,30.18450368200717,30.584697910643392,30.79404886277971,30.730354790770637,0.22520509108276285,0.084118039256454
2023-05,28.530645161290323,29.84,29.42961876832845,28.695543953922964,28.93550508527025,28.96809552130273,28.951120956318437,0.11022202924249924,0.2206864931085699
2023-06,26.815,28.530645161290323,27.710882967607105,28.17574405322893,27.553114912091722,27.434720393790112,27.25147969681981,0.14608943454152873,0.0872919100723764
2023-07,25.988709677419354,26.815,26.628885630498534,27.077915166634995,26.394444735761613,26.2959945684981,26.261420858083792,0.2005042250854436,0.1763416483049751
2023-08,25.870967741935484,25.988709677419354,25.97683284457478,26.77132566125546,26.15450330799866,25.97131256586286,25.85094880708128,0.31361302563692284,0.3543453357563171
2023-09,26.64,25.870967741935484,26.360151515151514,27.075384013902948,27.176719030992636,27.009116417853942,27.04454115487183,0.2449692476274461,0.1799013799195624
2023-10,27.94677419354839,26.64,27.983468556533072,27.61557673019786,28.43801875202887,28.48938648366816,28.423659056495985,0.1713192131218622,0.1489635517119385
2023-11,29.081666666666667,27.94677419354839,28.77364288041707,28.58834635239041,28.50919331323716,28.731443163295403,28.74025189765337,0.29413192636361984,0.2656786675818006
2023-12,27.0983870967742,29.081666666666667,27.96641984359726,29.11330922946644,28.34514667342747,28.33968240721252,28.380230673903256,0.14521112426772304,0.2798007523995411
2024-01,27.69193548387097,27.0983870967742,27.86627565982405,26.71476385499052,28.779702572736046,28.74007202138566,28.427217907349156,0.34406601037779233,0.3583139733703418
2024-02,28.939655172413797,27.69193548387097,30.227966860725484,28.46803897956693,30.827971254567945,30.52008007872408,30.380413003006385,0.20449247524546957,0.1337025399228178
2024-03,31.101612903225806,28.939655172413797,31.914516129032258,29.37452380063921,30.86784525644395,30.561196565001605,30.466394213747165,0.31151894404600255,0.3925008646334523
2024-04,29.883333333333333,31.101612903225806,30.93597751710655,30.37396555965565,30.11406505363603,30.56443918574993,30.59709827165734,0.38179126766163685,0.26128187686225
2024-05,28.79032258064516,29.883333333333333,29.42961876832845,28.807831766829366,28.758022148609165,28.79415306053866,28.58396357614324,0.05906025545524472,0.1855294028106544
2024-06,26.10333333333333,28.79032258064516,27.710882967607105,28.231142230399005,27.699395418263254,27.685197275703374,27.421317915669864,0.1350187143342768,0.1832131371712862
2024-07,24.9741935483871,26.10333333333333,26.628885630498534,26.37510657798683,26.117910279852726,25.90379840402151,25.8375710582969,0.2796526211745939,0.1137029236445975
2024-08,24.456451612903223,24.9741935483871,25.97683284457478,26.0658169084894,25.826445080820594,25.333094227149985,25.206753793793016,0.39221245631116347,0.421553894954742
2024-09,24.625,24.456451612903223,26.360151515151514,26.190998008331853,26.76847933957173,26.29667528009678,26.43894362692634,0.3129794794143515,0.2531903848046901
2024-10,26.779032258064515,24.625,27.983468556533072,26.111374934766868,27.932969683081872,27.62498045165411,27.56225550141513,0.09054123235951345,0.2212462576334471
2024-11,28.986666666666668,26.779032258064515,28.77364288041707,28.32926791457613,28.633746096414903,29.018738209410227,28.892076853762173,0.45826010015222196,0.3587073154577659
2024-12,28.538709677419355,28.986666666666668,27.96641984359726,29.391544136519087,28.441694074157745,28.492200825864217,28.456229355887075,0.28853089207757193,0.2034215148298784
