period,observed,Persistence,Climatology,ARIMA,LSTM,ARIMA-LSTM,ARIMA-LSTM-SVAO,LSTM_ensemble_sd,hybrid_ensemble_sd
2021-01,29.65967741935484,29.44677419354839,27.939662756598242,29.50872543823464,28.32476771054729,29.55232686902041,29.437855122099897,0.2887401122622221,0.6399394313819957
2021-02,30.732142857142858,29.65967741935484,30.495921965965067,29.58156470647673,30.25617481193235,30.55264047861649,30.127952349120463,0.31876246010737974,0.8186963449403891
2021-03,33.57741935483871,30.732142857142858,32.85102639296188,30.637776369588074,32.774220347096836,32.45714483401686,32.405517997324154,0.19432868470136427,0.4822180730348734
2021-04,34.20166666666667,33.57741935483871,32.74393939393939,33.17039465134847,33.373054914551396,32.927800067174616,32.90583666463754,0.1161015772194769,0.418536546111925
2021-05,31.830645161290324,34.20166666666667,30.947140762463345,32.15139533057601,31.697446482950635,32.121530645114014,32.171102720094446,0.11774217221426955,0.1277531771554727
2021-06,29.166666666666668,31.830645161290324,28.743409090909093,29.141696929577183,29.17900898062414,29.11342185066801,29.13269812529445,0.16209921969256982,0.2903291976093803
2021-07,27.361666666666668,29.166666666666668,27.42578934506354,27.603177496402267,27.625228362862146,27.30879229195588,27.767414469608376,0.183623479114004,0.5472724522253924
2021-08,26.695,27.361666666666668,26.78027859237537,27.233259903064948,26.63071469643424,26.74990614954433,26.77299767575234,0.23874917155171893,0.2182200797893949
2021-09,27.55666666666667,26.695,27.189848484848483,27.5624307678786,26.7674186300943,27.072342791741555,26.882446502942717,0.11686690208453174,0.0760264907025505
2021-10,29.39516129032258,27.55666666666667,28.700439882697946,28.957920718711115,28.482385249310926,28.38102034552745,28.456770373608144,0.1120272148525634,0.1106378062630319
2021-11,29.896666666666665,29.39516129032258,29.10181818181818,30.476753831454417,29.415390534112525,29.4384720536579,29.59669886547132,0.12881526480501077,0.2464010127473026
2021-12,28.88225806451613,29.896666666666665,28.058064516129033,29.903902711506163,28.1491390027923,28.772568602608143,29.01553370909402,0.09183344596091639,0.3915668587104819
2022-01,27.825806451612905,28.88225806451613,27.939662756598242,28.466109927319245,28.126496798684524,28.12126762899693,28.04889927892549,0.1676232820392679,0.4798486524663543
2022-02,30.717857142857145,27.825806451612905,30.495921965965067,27.90276433791333,30.457661071977306,29.2807527023582,29.22056652109445,0.3842616706339719,0.9250477072431972
2022-03,33.42258064516129,30.717857142857145,32.85102639296188,31.775203476226032,32.99933696020033,33.09590749314666,32.916611723204106,0.15940051603798144,0.3883196896355436
2022-04,32.445,33.42258064516129,32.74393939393939,33.062398705023014,33.22624640622446,33.52595494432957,33.37812569683181,0.13471926943826018,0.370201267111746
2022-05,31.351612903225806,32.445,30.947140762463345,30.295645335195097,30.73838938259309,30.27691646425053,30.25787570502588,0.12856425113337683,0.2191207505536137
2022-06,28.50166666666667,31.351612903225806,28.743409090909093,29.68520927851518,29.05838419631604,29.0889354377586,29.26883395086041,0.15182496725745165,0.1971530489077105
2022-07,27.51290322580645,28.50166666666667,27.42578934506354,27.1694626762132,27.278154938759343,27.00833781485184,27.119612232097342,0.20557633426190605,0.2439908062664404
2022-08,26.94032258064516,27.51290322580645,26.78027859237537,27.825524463364136,26.79097731218223,27.097190135015417,27.234367329361596,0.17455667932104096,0.148330568345081
2022-09,27.043333333333333,26.94032258064516,27.189848484848483,27.789664026179576,27.32394837495781,27.516551836086222,27.5245769866794,0.09332539544657543,0.4261878490175575
2022-10,28.5258064516129,27.043333333333333,28.700439882697946,28.22698038470462,28.440451908899895,27.985560439717656,28.137087670733106,0.0949602214817588,0.3232613395020058
2022-11,28.825,28.5258064516129,29.10181818181818,29.82030305263208,28.9713943232644,29.17152200783889,29.30078373028212,0.14193176288051934,0.2880763848915303
2022-12,27.966129032258067,28.825,28.058064516129033,29.23261865159457,28.126190423811636,28.13937842448036,28.071609479661937,0.08758758492924389,0.638052479834212
2023-01,27.916129032258063,27.966129032258067,27.939662756598242,28.092274974158386,27.898160496911697,27.8160724400767,27.98314662543225,0.11624692002148197,0.1708404817659735
2023-02,30.794642857142858,27.916129032258063,30.495921965965067,28.5671738430074,30.398804913259323,31.03795146838505,30.939649004444306,0.2307680627044889,0.4036216181874535
2023-03,32.01935483870968,30.794642857142858,32.85102639296188,31.80372488365928,32.96735678026753,33.098163547273366,32.95502844979005,0.11580079948362648,0.3699881355177332
2023-04,32.193333333333335,32.01935483870968,32.74393939393939,31.43474913552634,32.463237253119864,31.79448837406752,31.836969525869776,0.10361121127647742,0.5143646513091121
2023-05,30.530645161290323,32.193333333333335,30.947140762463345,30.87203931240056,30.71189769571827,30.907397948942226,30.865142274983057,0.048104608331793905,0.3367796223353465
2023-06,28.99,30.530645161290323,28.743409090909093,28.913465617866528,28.709522253313374,28.58584972882847,28.487595004496196,0.19286021186921395,0.114754056670453
2023-07,27.83225806451613,28.99,27.42578934506354,28.21699025734776,27.60917557402965,27.89662124087555,27.79564903113802,0.16537037651273875,0.2592880554902315
2023-08,27.13387096774193,27.83225806451613,26.78027859237537,27.85193630373346,27.0122479360815,27.29049621913914,27.22363334760764,0.14140498154491057,0.2269776630557279
2023-09,27.676666666666662,27.13387096774193,27.189848484848483,27.776526810025125,27.272206248198792,27.477958391784178,27.39254880477108,0.08099444008275841,0.2919810091358381
2023-10,28.756451612903227,27.676666666666662,28.700439882697946,28.823292588431126,28.56332125438798,28.455631491715344,28.747271780588655,0.11734354629979293,0.417534328523204
2023-11,29.526666666666664,28.756451612903227,29.10181818181818,29.68455801836394,29.17795397758484,28.959106427911337,28.89691469345481,0.09312296005841401,0.272778464408632
2023-12,26.47903225806452,29.526666666666664,28.058064516129033,29.88760025703641,28.506776987333456,28.65234301855112,28.71324125443659,0.13648871156548092,0.563333954251098
2024-01,28.743548387096777,26.47903225806452,27.939662756598242,26.00488003512741,27.40226142894837,27.618787507075638,27.171052653158007,0.1320472140638346,0.4592976739064611
2024-02,30.846551724137928,28.743548387096777,30.495921965965067,30.38140294550821,30.606309629255726,31.493723571454357,31.657262332779528,0.2103978812622813,0.2636557157561062
2024-03,34.45645161290323,30.846551724137928,32.85102639296188,31.334588731492616,32.91103207834305,32.5676680435671,32.64225175629009,0.12188653474466997,0.4518217674932056
2024-04,34.06,34.45645161290323,32.74393939393939,34.084926459741695,33.4543820927989,34.0762101760137,33.84738223650703,0.13479353540416972,0.1405738489213401
2024-05,32.35806451612903,34.06,30.947140762463345,31.464236218805297,31.414671897311365,31.5211528384398,31.28360079150824,0.23072236085585535,0.1601530400237244
2024-06,29.920161290322586,32.35806451612903,28.743409090909093,29.84082870088899,29.43457432275818,29.4417644897212,29.53169954679882,0.19444565170504882,0.2498168328028849
2024-07,27.48225806451613,29.920161290322586,27.42578934506354,28.14379637455861,27.97440067716183,27.580339475120287,27.757111411095025,0.19417649369790965,0.2031624598952169
2024-08,26.80483870967742,27.48225806451613,26.78027859237537,26.91553022398881,26.673094617392753,26.53448710297244,26.627605779888786,0.23698143185142626,0.2984212358322834
2024-09,27.043333333333333,26.80483870967742,27.189848484848483,27.64656982945232,26.668428924545168,27.4037404643322,27.13509083644284,0.11002311731334607,0.2507368680126437
2024-10,28.06451612903226,27.043333333333333,28.700439882697946,28.33465467901666,28.00036229527766,28.430196314181508,28.135643664372974,0.10772529725508388,0.4298805159293971
2024-11,28.148333333333333,28.06451612903226,29.10181818181818,29.327455895603453,29.05417328859529,29.000356328792392,28.930819794368038,0.13821274804313807,0.3576026117354063
2024-12,27.68387096774193,28.148333333333333,28.058064516129033,28.754364297287687,28.056824622404196,27.7774729629809,28.100629105227764,0.13269072132652518,0.3426987912153745
