month,Null,A_month,B_season,C1_harmonic,C2_harmonic,selected,w_lambda_0.0,w_lambda_0.25,w_lambda_0.5,w_lambda_1.0,w_lambda_2.0,w_lambda_4.0
1,1.0,0.5643746536451607,2.0037406615323263,0.7075986364000314,0.7583736850294481,2.0037406615323263,1.0,0.8102235150831792,0.6947545369998276,0.5612879779569863,0.43854082278278395,0.34722026194086636
2,1.0,1.420188846127428,2.0037406615323263,0.841613628765156,0.841856002191949,2.0037406615323263,1.0,0.8102235150831792,0.6947545369998276,0.5612879779569863,0.43854082278278395,0.34722026194086636
3,1.0,0.5820183770984875,2.0037406615323263,0.7875705571854357,0.7350523279031812,2.0037406615323263,1.0,0.8102235150831792,0.6947545369998276,0.5612879779569863,0.43854082278278395,0.34722026194086636
4,1.0,0.5715694138041119,0.28369690457753854,0.5902558510922535,0.5507367193836645,0.28369690457753854,1.0,1.1355546320834438,1.2180324735715515,1.313365730030724,1.4010422694408684,1.4662712414708097
5,1.0,0.3267912067583394,0.28369690457753854,0.3827592197484564,0.3826490219670242,0.28369690457753854,1.0,1.1355546320834438,1.2180324735715515,1.313365730030724,1.4010422694408684,1.4662712414708097
6,1.0,0.30432480651055177,0.28369690457753854,0.24118523485288024,0.258417506600976,0.28369690457753854,1.0,1.1355546320834438,1.2180324735715515,1.313365730030724,1.4010422694408684,1.4662712414708097
7,1.0,0.17585064727019536,0.28369690457753854,0.16713190548066897,0.17912476441477027,0.28369690457753854,1.0,1.1355546320834438,1.2180324735715515,1.313365730030724,1.4010422694408684,1.4662712414708097
8,1.0,0.16576124809123755,0.28369690457753854,0.1405185281880223,0.14055899563774119,0.28369690457753854,1.0,1.1355546320834438,1.2180324735715515,1.313365730030724,1.4010422694408684,1.4662712414708097
9,1.0,0.08803089400214627,0.28369690457753854,0.15016090601418342,0.1401476001340511,0.28369690457753854,1.0,1.1355546320834438,1.2180324735715515,1.313365730030724,1.4010422694408684,1.4662712414708097
10,1.0,0.25183215458408537,0.28369690457753854,0.20035770623572624,0.18694324779891697,0.28369690457753854,1.0,1.1355546320834438,1.2180324735715515,1.313365730030724,1.4010422694408684,1.4662712414708097
11,1.0,0.37601465513878884,2.0037406615323263,0.308973114990621,0.3088841604990306,2.0037406615323263,1.0,0.8102235150831792,0.6947545369998276,0.5612879779569863,0.43854082278278395,0.34722026194086636
12,1.0,0.4245932382275975,2.0037406615323263,0.4903380942419575,0.5253719108583642,2.0037406615323263,1.0,0.8102235150831792,0.6947545369998276,0.5612879779569863,0.43854082278278395,0.34722026194086636
