period,residual
1995-01,
1995-02,
1995-03,
1995-04,
1995-05,
1995-06,
1995-07,
1995-08,
1995-09,
1995-10,
1995-11,
1995-12,
1996-01,-0.21393964298289347
1996-02,0.8576971265143563
1996-03,-0.06160493073907247
1996-04,0.13443366332547768
1996-05,0.2239036107844754
1996-06,-0.9253185090411904
1996-07,-0.340913815529742
1996-08,-0.2870020186727764
1996-09,-0.1970026789264665
1996-10,0.07707041169322082
1996-11,1.1957461587736944
1996-12,-1.3281840180253681
1997-01,-0.22729395492014248
1997-02,1.4137313047465163
1997-03,0.6323300694830962
1997-04,-0.9785210818305465
1997-05,0.7495032138510922
1997-06,-0.37331427817062135
1997-07,-0.6364929816449383
1997-08,-0.2697562735480368
1997-09,0.805977890258248
1997-10,0.4849847033478589
1997-11,-0.19209217024495118
1997-12,-0.411331301178123
1998-01,-0.2170446476343919
1998-02,1.4654841673189303
1998-03,2.061476781204032
1998-04,0.30176427153159935
1998-05,0.10391387857780998
1998-06,0.17293419739075233
1998-07,0.06266729942054994
1998-08,-0.350206655777761
1998-09,0.8888846804739998
1998-10,0.22119831606333662
1998-11,0.4772971337487135
1998-12,-1.2755540450569036
1999-01,-0.40344958631744987
1999-02,-0.4697510783141148
1999-03,-0.05238355605704115
1999-04,-0.7053838907920493
1999-05,-0.13532803102980395
1999-06,-0.6138284497304021
1999-07,-1.014171831413904
1999-08,-0.7526072197353564
1999-09,-0.6451078937005335
1999-10,-0.43491070443728574
1999-11,0.3096102242163816
1999-12,-0.40526547754536324
2000-01,-0.3713299211956915
2000-02,0.4960368715067851
2000-03,1.6445526890966384
2000-04,-0.3987699587834008
2000-05,0.272002382445951
2000-06,-0.2785752890260369
2000-07,-0.33999095855832806
2000-08,0.30825026022803925
2000-09,0.11272982202942572
2000-10,0.05003574281704459
2000-11,0.207290470789129
2000-12,-1.3274824257382818
2001-01,0.44109752849411166
2001-02,0.8536112915621921
2001-03,-0.25293203290969757
2001-04,-0.4894633690314478
2001-05,0.8776031764919843
2001-06,-0.06249933253307205
2001-07,-0.402376316966226
2001-08,-0.7032600926746291
2001-09,0.0667073584286868
2001-10,1.2208434730210413
2001-11,0.47244281352552164
2001-12,0.040736258694167304
2002-01,-0.47546893507086097
2002-02,1.9369205702105958
