period,tmean
1995-01,26.82741935483871
1995-02,29.676785714285717
1995-03,28.253225806451614
1995-04,27.858333333333334
1995-05,27.37741935483871
1995-06,26.243333333333336
1995-07,25.59193548387097
1995-08,25.39516129032258
1995-09,25.625
1995-10,26.1
1995-11,27.21
1995-12,26.358064516129033
1996-01,26.720967741935485
1996-02,27.887931034482758
1996-03,27.780645161290323
1996-04,27.741666666666667
1996-05,27.519354838709678
1996-06,26.013333333333332
1996-07,25.401612903225807
1996-08,25.048387096774192
1996-09,25.165000000000003
1996-10,25.848387096774196
1996-11,27.741666666666667
1996-12,26.717741935483872
1997-01,26.996774193548386
1997-02,28.514285714285712
1997-03,28.656451612903226
1997-04,26.918333333333333
1997-05,27.04516129032258
1997-06,25.8
1997-07,24.77258064516129
1997-08,24.588709677419356
1997-09,25.915000000000003
1997-10,26.979032258064517
1997-11,27.35666666666667
1997-12,27.383870967741935
1998-01,27.38225806451613
1998-02,28.810714285714287
1998-03,30.187096774193552
1998-04,29.15666666666667
1998-05,27.825806451612905
1998-06,26.55166666666667
1998-07,25.50161290322581
1998-08,24.64032258064516
1998-09,25.796666666666667
1998-10,26.570967741935487
1998-11,27.94
1998-12,27.375806451612902
1999-01,27.822580645161292
1999-02,27.830357142857142
1999-03,28.075806451612905
1999-04,27.360000000000003
1999-05,27.212903225806453
1999-06,26.451666666666668
1999-07,25.483870967741936
1999-08,25.101612903225806
1999-09,25.115000000000002
1999-10,25.608064516129033
1999-11,26.935000000000002
1999-12,27.26451612903226
2000-01,27.440322580645166
2000-02,28.113793103448277
2000-03,29.391935483870967
2000-04,27.903333333333332
2000-05,27.13225806451613
2000-06,25.658333333333335
2000-07,24.561290322580643
2000-08,24.677419354838708
2000-09,25.05166666666667
2000-10,25.808064516129033
2000-11,26.896666666666665
2000-12,26.322580645161292
2001-01,27.648387096774194
2001-02,28.778571428571432
2001-03,28.270967741935483
2001-04,27.273333333333333
2001-05,27.488709677419354
2001-06,26.475
2001-07,25.41774193548387
2001-08,24.43548387096774
2001-09,24.791666666666668
2001-10,26.622580645161293
2001-11,27.608333333333334
2001-12,28.070967741935487
2002-01,27.71129032258065
2002-02,29.553571428571427
2002-03,28.716129032258067
2002-04,28.13888888888889
2002-05,27.322580645161292
2002-06,25.96333333333333
2002-07,25.35645161290323
2002-08,24.27258064516129
2002-09,25.511666666666667
2002-10,26.490322580645163
2002-11,27.086666666666666
2002-12,26.50967741935484
2003-01,27.483870967741936
