period,tmean
1995-01,27.15806451612903
1995-02,29.32857142857143
1995-03,28.477419354838712
1995-04,28.471666666666668
1995-05,27.603225806451615
1995-06,26.688333333333333
1995-07,26.083870967741937
1995-08,26.062903225806455
1995-09,26.701666666666664
1995-10,27.12258064516129
1995-11,27.426666666666666
1995-12,27.177419354838708
1996-01,27.780645161290323
1996-02,28.127586206896552
1996-03,28.256451612903227
1996-04,28.368333333333336
1996-05,27.39032258064516
1996-06,26.498333333333335
1996-07,25.8
1996-08,25.2241935483871
1996-09,26.095000000000002
1996-10,27.148387096774194
1996-11,27.886666666666667
1996-12,27.561290322580643
1997-01,27.998387096774195
1997-02,28.389285714285712
1997-03,28.175806451612903
1997-04,27.53666666666667
1997-05,27.375806451612902
1997-06,26.486666666666668
1997-07,25.490322580645163
1997-08,25.782258064516128
1997-09,27.028333333333332
1997-10,27.50967741935484
1997-11,27.555
1997-12,27.6
1998-01,27.14516129032258
1998-02,29.9875
1998-03,30.456451612903226
1998-04,29.84
1998-05,28.24516129032258
1998-06,26.985000000000003
1998-07,26.325806451612905
1998-08,25.638709677419353
1998-09,26.778333333333332
1998-10,27.37258064516129
1998-11,28.113333333333333
1998-12,27.75
1999-01,27.769354838709678
1999-02,27.901785714285715
1999-03,28.733870967741936
1999-04,28.381666666666668
1999-05,27.50483870967742
1999-06,26.578333333333333
1999-07,25.801612903225806
1999-08,25.633870967741935
1999-09,25.91166666666667
1999-10,26.638709677419353
1999-11,27.146666666666665
1999-12,27.198387096774194
2000-01,27.69193548387097
2000-02,27.400000000000002
2000-03,29.296774193548387
2000-04,28.448333333333334
2000-05,27.769354838709678
2000-06,26.62
2000-07,25.56612903225807
2000-08,25.306451612903224
2000-09,26.345000000000002
2000-10,27.187096774193552
2000-11,27.76833333333333
2000-12,27.44516129032258
2001-01,27.801612903225806
2001-02,28.528571428571432
2001-03,28.533870967741937
2001-04,28.058333333333334
2001-05,27.85967741935484
2001-06,26.535000000000004
2001-07,25.71129032258065
2001-08,25.195161290322584
2001-09,25.853333333333335
2001-10,27.362903225806452
2001-11,27.613333333333333
2001-12,28.19193548387097
2002-01,27.31612903225807
2002-02,28.8625
2002-03,28.808064516129033
2002-04,28.283333333333335
2002-05,28.274193548387096
2002-06,26.84
2002-07,26.164516129032258
2002-08,25.26451612903226
2002-09,26.225
2002-10,27.038709677419355
2002-11,27.40666666666667
2002-12,26.45967741935484
2003-01,27.824193548387097
2003-02,29.091071428571432
2003-03,29.220967741935485
2003-04,28.116666666666667
2003-05,27.846774193548388
2003-06,26.575
2003-07,26.0741935483871
2003-08,25.524193548387096
2003-09,26.654999999999998
2003-10,27.470967741935485
2003-11,27.65
2003-12,27.269354838709678
2004-01,28.009677419354837
2004-02,28.606896551724137
2004-03,28.96935483870968
2004-04,28.576666666666668
2004-05,27.506451612903227
2004-06,26.30666666666667
2004-07,25.683870967741935
2004-08,25.675806451612903
2004-09,26.765
2004-10,27.006451612903227
2004-11,27.715
2004-12,27.891935483870967
2005-01,26.416129032258063
2005-02,29.95714285714286
2005-03,28.838709677419356
2005-04,28.93
2005-05,28.07903225806452
2005-06,26.610000000000003
2005-07,25.793548387096774
2005-08,25.345161290322583
2005-09,27.113333333333337
2005-10,27.362903225806452
2005-11,27.945
2005-12,27.46451612903226
2006-01,28.098387096774193
2006-02,28.50357142857143
2006-03,28.208064516129035
2006-04,28.34
2006-05,27.27741935483871
2006-06,26.746666666666666
2006-07,26.103225806451615
2006-08,25.830645161290324
2006-09,26.461666666666666
2006-10,27.503225806451614
2006-11,27.95
2006-12,27.6
2007-01,26.65806451612903
2007-02,29.001785714285717
2007-03,28.891935483870967
2007-04,28.363333333333333
2007-05,28.38594155844156
2007-06,28.408549783549784
2007-07,
2007-08,
2007-09,
2007-10,
2007-11,
2007-12,
2008-01,
2008-02,
2008-03,
2008-04,
2008-05,
2008-06,
2008-07,
2008-08,
2008-09,
2008-10,
2008-11,
2008-12,
2009-01,
2009-02,28.860714285714288
2009-03,28.57903225806452
2009-04,28.4
2009-05,27.951612903225808
2009-06,26.886666666666667
2009-07,25.77258064516129
2009-08,25.65
2009-09,26.835
2009-10,27.629032258064516
2009-11,27.901666666666667
2009-12,28.50967741935484
2010-01,28.60645161290323
2010-02,29.219642857142855
2010-03,29.374193548387098
2010-04,29.28666666666667
2010-05,28.322580645161292
2010-06,27.208333333333332
2010-07,26.13225806451613
2010-08,26.206451612903226
2010-09,26.515
2010-10,27.403225806451612
2010-11,27.66166666666667
2010-12,28.06612903225807
2011-01,27.36774193548387
2011-02,27.810714285714287
2011-03,27.36774193548387
2011-04,28.89
2011-05,27.75967741935484
2011-06,26.91166666666667
2011-07,25.79516129032258
2011-08,25.353225806451615
2011-09,26.43166666666667
2011-10,27.156451612903226
2011-11,27.956666666666667
2011-12,27.450000000000003
2012-01,27.65483870967742
2012-02,28.379310344827587
2012-03,29.017741935483873
2012-04,28.553333333333335
2012-05,28.029032258064515
2012-06,26.521666666666665
2012-07,25.79193548387097
2012-08,25.301612903225806
2012-09,26.304032258064517
2012-10,27.306451612903224
2012-11,27.986666666666668
2012-12,27.862903225806452
2013-01,27.700000000000003
2013-02,29.69821428571429
2013-03,29.36935483870968
2013-04,28.811666666666667
2013-05,27.608064516129033
2013-06,26.74666666666667
2013-07,25.756451612903227
2013-08,25.358064516129033
2013-09,26.438333333333333
2013-10,27.20967741935484
2013-11,27.560000000000002
2013-12,27.187096774193552
2014-01,28.37258064516129
2014-02,28.607142857142858
2014-03,28.633870967741935
2014-04,28.623333333333335
2014-05,28.200000000000003
2014-06,27.296666666666667
2014-07,25.622580645161293
2014-08,25.94129032258065
2014-09,26.26
2014-10,27.36935483870968
2014-11,27.501666666666665
2014-12,27.87741935483871
2015-01,26.858064516129033
2015-02,28.932142857142857
2015-03,28.451612903225808
2015-04,28.948333333333334
2015-05,28.69677419354839
2015-06,26.82
2015-07,26.14032258064516
2015-08,25.866129032258065
2015-09,26.768333333333334
2015-10,27.44677419354839
2015-11,28.25166666666667
2015-12,27.414516129032258
2016-01,28.754838709677422
2016-02,30.44137931034483
2016-03,29.880645161290325
2016-04,29.511666666666667
2016-05,28.387096774193548
2016-06,26.80666666666667
2016-07,26.25
2016-08,25.888709677419353
2016-09,26.928333333333335
2016-10,27.638709677419353
2016-11,28.19333333333333
2016-12,28.01290322580645
2017-01,28.016129032258064
2017-02,29.175
2017-03,29.296774193548387
2017-04,28.483333333333334
2017-05,27.96451612903226
2017-06,26.985000000000003
2017-07,25.853225806451615
2017-08,26.07994623655914
2017-09,26.30666666666667
2017-10,27.060000000000002
2017-11,27.813333333333333
2017-12,27.61451612903226
2018-01,27.929032258064517
2018-02,29.780357142857145
2018-03,28.958064516129035
2018-04,28.971666666666668
2018-05,27.774193548387096
2018-06,26.893333333333334
2018-07,26.437096774193552
2018-08,26.23709677419355
2018-09,26.78666666666667
2018-10,27.47258064516129
2018-11,28.35666666666667
2018-12,28.656451612903226
2019-01,29.093548387096774
2019-02,29.650000000000002
2019-03,29.43064516129032
2019-04,29.653333333333332
2019-05,28.27741935483871
2019-06,27.118333333333336
2019-07,26.456451612903226
2019-08,26.36451612903226
2019-09,26.92
2019-10,26.825806451612905
2019-11,28.191666666666666
2019-12,28.703225806451616
2020-01,28.412903225806453
2020-02,30.21896551724138
2020-03,29.546774193548387
2020-04,29.375
2020-05,28.858064516129033
2020-06,27.19
2020-07,26.279032258064515
2020-08,26.491935483870968
2020-09,26.933333333333334
2020-10,27.38225806451613
2020-11,28.23
2020-12,28.198387096774194
2021-01,28.283870967741933
2021-02,29.07857142857143
2021-03,28.633870967741935
2021-04,28.970000000000002
2021-05,28.99516129032258
2021-06,27.35166666666667
2021-07,26.56612903225807
2021-08,26.555
2021-09,26.793333333333337
2021-10,27.570967741935487
2021-11,28.211666666666666
2021-12,28.940322580645162
2022-01,28.556451612903224
2022-02,29.330357142857142
2022-03,29.10645161290323
2022-04,28.15
2022-05,28.317741935483873
2022-06,27.05166666666667
2022-07,26.21129032258065
2022-08,25.700000000000003
2022-09,25.951666666666668
2022-10,27.488709677419354
2022-11,28.295
2022-12,28.170967741935485
2023-01,28.72258064516129
2023-02,29.63214285714286
2023-03,28.735483870967744
2023-04,29.193333333333335
2023-05,28.345161290322583
2023-06,26.441666666666666
2023-07,26.906451612903226
2023-08,26.190322580645162
2023-09,27.015
2023-10,28.090322580645164
2023-11,28.896666666666665
2023-12,28.629032258064516
2024-01,29.54193548387097
2024-02,30.26896551724138
2024-03,30.129032258064516
2024-04,29.383333333333333
2024-05,28.848387096774196
2024-06,27.811666666666667
2024-07,25.87741935483871
2024-08,25.20483870967742
2024-09,26.796666666666667
2024-10,27.26451612903226
2024-11,28.84
2024-12,29.003225806451614
