month,Null,A_month,B_season,C1_harmonic,C2_harmonic,selected,w_lambda_0.0,w_lambda_0.25,w_lambda_0.5,w_lambda_1.0,w_lambda_2.0,w_lambda_4.0
1,1.0,0.49986382789123596,0.9838909505334289,0.5275344066327599,0.5188346103653375,0.9838909505334289,1.0,1.0025104704710532,1.0041881191557964,1.006289698094279,1.008396313969078,1.010085245443542
2,1.0,0.8246274995182109,0.9838909505334289,0.6398775028224255,0.7128563301716514,0.9838909505334289,1.0,1.0025104704710532,1.0041881191557964,1.006289698094279,1.008396313969078,1.010085245443542
3,1.0,0.7989664088244283,0.9838909505334289,0.7515643043068053,0.8513206447363284,0.9838909505334289,1.0,1.0025104704710532,1.0041881191557964,1.006289698094279,1.008396313969078,1.010085245443542
4,1.0,0.8263614423460302,1.0053784722034895,0.8187235410835608,0.8324518619481887,1.0053784722034895,1.0,0.9982068068063903,0.9970084863172883,0.9955073585040864,0.9940026328792299,0.9927962532546124
5,1.0,0.6169874042605663,1.0053784722034895,0.8084446012336063,0.725679903106237,1.0053784722034895,1.0,0.9982068068063903,0.9970084863172883,0.9955073585040864,0.9940026328792299,0.9927962532546124
6,1.0,0.858077643141557,1.0053784722034895,0.7260647410402439,0.6409856795504133,1.0053784722034895,1.0,0.9982068068063903,0.9970084863172883,0.9955073585040864,0.9940026328792299,0.9927962532546124
7,1.0,0.5565298120472164,1.0053784722034895,0.6104063327099383,0.600339859948821,1.0053784722034895,1.0,0.9982068068063903,0.9970084863172883,0.9955073585040864,0.9940026328792299,0.9927962532546124
8,1.0,0.4600780524786507,1.0053784722034895,0.503237480784472,0.5606323431820974,1.0053784722034895,1.0,0.9982068068063903,0.9970084863172883,0.9955073585040864,0.9940026328792299,0.9927962532546124
9,1.0,0.5525214885744119,1.0053784722034895,0.42845348120679827,0.4853228017487063,1.0053784722034895,1.0,0.9982068068063903,0.9970084863172883,0.9955073585040864,0.9940026328792299,0.9927962532546124
10,1.0,0.438433213990368,1.0053784722034895,0.3933077850733878,0.3999027529729276,1.0053784722034895,1.0,0.9982068068063903,0.9970084863172883,0.9955073585040864,0.9940026328792299,0.9927962532546124
11,1.0,0.3276018991327885,0.9838909505334289,0.3983084827824446,0.3575315621514492,0.9838909505334289,1.0,1.0025104704710532,1.0041881191557964,1.006289698094279,1.008396313969078,1.010085245443542
12,1.0,0.38079301198327853,0.9838909505334289,0.443500867525487,0.3915321718346124,0.9838909505334289,1.0,1.0025104704710532,1.0041881191557964,1.006289698094279,1.008396313969078,1.010085245443542
