period,residual
1995-01,
1995-02,
1995-03,
1995-04,
1995-05,
1995-06,
1995-07,
1995-08,
1995-09,
1995-10,
1995-11,
1995-12,
1996-01,0.8255779068665028
1996-02,1.9271452588900964
1996-03,0.9966976311913349
1996-04,0.09488085482511721
1996-05,0.26591969436525886
1996-06,-1.7789671999553356
1996-07,-0.5239027195185528
1996-08,-1.2821539191216935
1996-09,-0.9107878619823886
1996-10,0.8041502998286703
1996-11,-1.10335936201162
1996-12,0.44149597198829227
1997-01,0.8184958518020302
1997-02,-0.6046971289143457
1997-03,3.030815520151087
1997-04,-1.106723334664629
1997-05,0.18160882012111657
1997-06,-1.3210352294613585
1997-07,-0.8404852500176254
1997-08,-0.3315579864257039
1997-09,-0.6057373810230082
1997-10,0.5151009011756322
1997-11,0.1630808099909018
1997-12,-0.9923431277414387
1998-01,0.23259385251149212
1998-02,3.097251125709917
1998-03,0.9211142040183518
1998-04,1.2319724801730736
1998-05,-0.13125484347439098
1998-06,-0.7624994707723971
1998-07,-0.5353419343879011
1998-08,-1.6844497004825776
1998-09,-0.3458386151277004
1998-10,0.8303076472145143
1998-11,0.05072823726058573
1998-12,-0.8818388337608205
1999-01,0.775829467970123
1999-02,0.007183938418723557
1999-03,2.9265541545727665
1999-04,-0.5940646223274051
1999-05,0.3191050726214897
1999-06,-0.752612952344073
1999-07,-1.780640613161939
1999-08,-0.49287954182253557
1999-09,-1.2557106214018567
1999-10,0.4056018274583977
1999-11,1.0317439299635396
1999-12,-2.4665964457604517
2000-01,2.248342087021122
2000-02,-1.515396943575979
2000-03,3.383340129837464
2000-04,-0.057487647075557646
2000-05,-0.9642974960375845
2000-06,-0.4752659584085599
2000-07,-1.1949341185673354
2000-08,-0.8445581883596631
2000-09,-0.9500795077767705
2000-10,0.8438609959967387
2000-11,0.5236553329501383
2000-12,-2.096424778078571
2001-01,1.312436670455611
2001-02,0.6811352375273536
2001-03,2.6339827262024507
2001-04,0.1627904707277814
2001-05,-0.3724516775495772
2001-06,-0.7374738718755722
2001-07,-0.5078730723426688
2001-08,-1.5832852718064387
2001-09,-0.1970501221462797
2001-10,1.7280384758923262
2001-11,-0.4091972251400051
2001-12,0.35517614989957025
2002-01,-0.5687746732959944
2002-02,2.3024762230398146
2002-03,2.7646320179300865
