period,observed,Persistence,Climatology,ARIMA,LSTM,ARIMA-LSTM,ARIMA-LSTM-SVAO,LSTM_ensemble_sd,hybrid_ensemble_sd
2021-01,28.283870967741933,28.198387096774194,27.649112903225806,28.585202497849178,28.472489577108814,28.52488068437292,28.449233199518737,0.08419797753370858,0.0318512158399415
2021-02,29.07857142857143,28.283870967741933,28.83978712174525,28.50425790947007,28.87421241183435,28.770885569253466,29.19742797829985,0.10635362058433126,0.4394988105314227
2021-03,28.63387096774193,29.07857142857143,28.835330261136715,29.013081687467142,29.151566053513555,28.99670803146213,28.81757253703775,0.16728829228208114,0.179707758570471
2021-04,28.97,28.63387096774193,28.606666666666666,28.381902622917057,28.76220648034926,28.549918739696352,28.894519366778,0.13360790295085398,0.0675690186966488
2021-05,28.99516129032258,28.97,27.908239920601677,28.53258226340941,28.151854547569826,28.40000527677318,28.38904725429862,0.12662254728652234,0.0971180305946822
2021-06,27.35166666666667,28.99516129032258,26.813184910327767,28.412102616922127,27.881274639810282,28.279866282690904,28.141835882380192,0.3502964354926331,0.0520031486289361
2021-07,26.56612903225807,27.35166666666667,25.892983870967743,26.94977031353896,26.752497256167477,26.97343345623061,26.925728795445718,0.15144754795076457,0.207970178528689
2021-08,26.555,26.56612903225807,25.60246774193548,26.5199135317686,26.26093350296059,26.57679702001313,26.39868703589275,0.382123276916518,0.3634954563733364
2021-09,26.793333333333337,26.555,26.520701612903224,26.83669781956957,26.82478131776856,26.90504549742153,27.03698205405776,0.16476667712199028,0.1867634278413029
2021-10,27.570967741935487,26.793333333333337,27.294193548387096,27.29522704983001,27.360113459825516,27.32574706205247,27.483834057417944,0.13290250310562746,0.0984030867206927
2021-11,28.211666666666662,27.570967741935487,27.759499999999996,28.093529458098075,27.79951488960174,28.02932974410169,27.992777637412463,0.08565482950834478,0.1915629975290396
2021-12,28.94032258064516,28.211666666666662,27.59951612903226,28.59173722364578,28.16610353266039,28.48341761954459,28.26751712918352,0.08055761712909944,0.1371622405176079
2022-01,28.556451612903224,28.94032258064516,27.649112903225806,29.038446923433945,28.699027027622343,28.853469276757323,28.60839792595168,0.10593894179600168,0.1095029422471389
2022-02,29.330357142857142,28.556451612903224,28.83978712174525,28.454062215318963,29.032506251604325,28.67731746608964,28.670882525874028,0.0872243724631619,0.3603689495092215
