period,tmean
1995-01,26.580645161290324
1995-02,29.34642857142857
1995-03,31.988709677419358
1995-04,30.741666666666667
1995-05,29.111290322580647
1995-06,27.936666666666667
1995-07,26.429032258064517
1995-08,25.927419354838708
1995-09,26.82166666666667
1995-10,28.019354838709678
1995-11,28.211666666666666
1995-12,28.095161290322583
1996-01,28.843548387096778
1996-02,30.83793103448276
1996-03,31.57741935483871
1996-04,30.521666666666665
1996-05,29.475806451612904
1996-06,27.2
1996-07,26.467741935483872
1996-08,25.81451612903226
1996-09,25.938333333333333
1996-10,27.529032258064515
1996-11,27.446666666666665
1996-12,27.94677419354839
1997-01,28.87741935483871
1997-02,28.614285714285717
1997-03,31.062903225806455
1997-04,29.871666666666666
1997-05,28.975806451612904
1997-06,26.701666666666668
1997-07,26.298387096774192
1997-08,26.467741935483872
1997-09,26.873333333333335
1997-10,27.938709677419357
1997-11,28.538333333333338
1997-12,27.60483870967742
1998-01,27.511290322580646
1998-02,30.982142857142858
1998-03,32.28387096774194
1998-04,31.991666666666667
1998-05,29.943548387096776
1998-06,28.171666666666667
1998-07,27.1
1998-08,25.82903225806452
1998-09,26.1
1998-10,27.96451612903226
1998-11,28.990000000000002
1998-12,27.893548387096775
1999-01,28.24516129032258
1999-02,28.63214285714286
1999-03,31.629032258064516
1999-04,30.643333333333334
1999-05,29.608064516129033
1999-06,27.705
1999-07,26.06935483870968
1999-08,25.779032258064515
1999-09,25.71833333333333
1999-10,27.227419354838712
1999-11,29.080000000000002
1999-12,27.030645161290323
2000-01,28.61774193548387
2000-02,27.731034482758623
2000-03,31.282258064516128
2000-04,30.808333333333334
2000-05,29.008064516129032
2000-06,26.915000000000003
2000-07,26.201612903225808
2000-08,26.059677419354838
2000-09,25.90666666666667
2000-10,27.73709677419355
2000-11,29.110000000000003
2000-12,27.07903225806452
2001-01,27.753225806451614
2001-02,29.146428571428572
2001-03,32.185483870967744
2001-04,31.361666666666668
2001-05,29.420967741935485
2001-06,27.321666666666665
2001-07,26.916129032258063
2001-08,25.866129032258065
2001-09,26.285000000000004
2001-10,29.006451612903227
2001-11,29.446666666666665
2001-12,29.09193548387097
2002-01,27.86451612903226
2002-02,30.20714285714286
2002-03,33.038709677419355
2002-04,30.94
2002-05,29.559677419354838
2002-06,27.671666666666667
2002-07,26.937096774193545
2002-08,25.811290322580643
2002-09,26.526666666666667
2002-10,27.911290322580644
2002-11,28.92
2002-12,27.64516129032258
2003-01,28.387096774193548
2003-02,31.233928571428574
2003-03,31.846774193548388
2003-04,30.65
2003-05,29.467741935483872
2003-06,26.59333333333333
2003-07,26.36935483870968
2003-08,26.135483870967743
2003-09,26.543333333333337
2003-10,28.35
2003-11,28.87166666666667
2003-12,27.66774193548387
2004-01,28.477419354838712
2004-02,30.32758620689655
2004-03,30.951612903225808
2004-04,30.291666666666668
2004-05,28.788709677419355
2004-06,27.10666666666667
2004-07,25.925806451612903
2004-08,25.832258064516132
2004-09,26.253333333333334
2004-10,28.620967741935484
2004-11,28.970000000000002
2004-12,29.267741935483873
2005-01,27.275806451612905
2005-02,31.833928571428572
2005-03,32.41612903225807
2005-04,30.971666666666668
2005-05,29.35645161290323
2005-06,27.398333333333333
2005-07,26.288709677419355
2005-08,25.825806451612905
2005-09,26.888333333333332
2005-10,28.27258064516129
2005-11,29.21333333333333
2005-12,28.8
2006-01,28.932258064516127
2006-02,30.325
2006-03,32.406451612903226
2006-04,32.00666666666667
2006-05,29.50161290322581
2006-06,28.116666666666667
2006-07,27.14032258064516
2006-08,26.358064516129033
2006-09,26.323333333333334
2006-10,28.225806451612904
2006-11,28.345000000000002
2006-12,27.55483870967742
2007-01,26.99516129032258
2007-02,30.755357142857143
2007-03,32.016129032258064
2007-04,30.205
2007-05,28.97258064516129
2007-06,28.23
2007-07,27.532258064516128
2007-08,25.611290322580647
2007-09,26.498333333333335
2007-10,28.08225806451613
2007-11,28.895
2007-12,27.274193548387096
2008-01,25.64677419354839
2008-02,29.662068965517243
2008-03,31.66774193548387
2008-04,30.82
2008-05,29.96451612903226
2008-06,28.43166666666667
2008-07,26.216129032258067
2008-08,25.779032258064515
2008-09,26.543333333333333
2008-10,27.846774193548388
2008-11,28.433333333333334
2008-12,28.366129032258065
2009-01,26.91774193548387
2009-02,30.957142857142856
2009-03,31.35967741935484
2009-04,30.779999999999998
2009-05,29.725806451612904
2009-06,27.57
2009-07,26.25
2009-08,25.69193548387097
2009-09,26.233333333333334
2009-10,27.546774193548387
2009-11,28.055
2009-12,28.30322580645161
2010-01,28.962903225806453
2010-02,31.70357142857143
2010-03,32.85967741935484
2010-04,31.193333333333335
2010-05,29.546774193548387
2010-06,28.233333333333334
2010-07,27.003225806451614
2010-08,26.508064516129032
2010-09,26.37
2010-10,27.440322580645162
2010-11,29.335
2010-12,28.30322580645161
2011-01,27.748387096774195
2011-02,30.342857142857145
2011-03,32.04354838709678
2011-04,31.485
2011-05,29.517741935483873
2011-06,28.046666666666667
2011-07,26.68064516129032
2011-08,26.085483870967742
2011-09,26.8
2011-10,28.27258064516129
2011-11,29.581666666666667
2011-12,27.39677419354839
2012-01,27.677419354838708
2012-02,30.25689655172414
2012-03,32.167741935483875
2012-04,30.946666666666665
2012-05,28.811290322580643
2012-06,27.638333333333332
2012-07,26.174193548387095
2012-08,25.933870967741935
2012-09,25.96333333333333
2012-10,26.723405017921145
2012-11,27.48347670250896
2012-12,28.243548387096773
2013-01,28.114516129032257
2013-02,30.289285714285715
2013-03,31.76290322580645
2013-04,29.618333333333332
2013-05,29.23225806451613
2013-06,28.55666666666667
2013-07,26.643548387096775
2013-08,25.491935483870968
2013-09,26.035
2013-10,27.75483870967742
2013-11,29.246666666666666
2013-12,28.816075268817205
2014-01,28.385483870967743
2014-02,30.337500000000002
2014-03,31.646774193548385
2014-04,30.279838709677417
2014-05,28.91290322580645
2014-06,27.763333333333332
2014-07,27.212903225806453
2014-08,26.470967741935485
2014-09,26.001666666666665
2014-10,28.095161290322583
2014-11,28.363333333333333
2014-12,27.64032258064516
2015-01,27.45483870967742
2015-02,31.235714285714288
2015-03,31.996774193548386
2015-04,32.03666666666667
2015-05,31.258064516129032
2015-06,28.398333333333333
2015-07,27.356451612903225
2015-08,25.98225806451613
2015-09,26.741666666666667
2015-10,28.546774193548387
2015-11,28.855
2015-12,26.072580645161292
2016-01,27.788709677419355
2016-02,30.25689655172414
2016-03,31.929032258064513
2016-04,32.42666666666666
2016-05,29.291935483870965
2016-06,27.932758620689654
2016-07,26.62258064516129
2016-08,26.229032258064517
2016-09,26.558333333333334
2016-10,28.524193548387096
2016-11,29.628333333333334
2016-12,29.16774193548387
2017-01,30.29458525345622
2017-02,31.42142857142857
2017-03,32.791935483870965
2017-04,31.58
2017-05,29.5
2017-06,27.915000000000003
2017-07,27.219354838709677
2017-08,26.443548387096776
2017-09,27.26833333333333
2017-10,29.485
2017-11,29.485
2017-12,28.379032258064516
2018-01,27.898387096774194
2018-02,30.858928571428574
2018-03,31.26451612903226
2018-04,30.858333333333334
2018-05,29.048387096774192
2018-06,27.68
2018-07,26.711290322580645
2018-08,26.358064516129033
2018-09,26.705
2018-10,28.179032258064513
2018-11,29.396666666666665
2018-12,27.99516129032258
2019-01,28.36451612903226
2019-02,30.064285714285713
2019-03,32.233870967741936
2019-04,31.893453510436434
2019-05,31.55303605313093
2019-06,
2019-07,
2019-08,
2019-09,
2019-10,
2019-11,
2019-12,
2020-01,
2020-02,
2020-03,
2020-04,
2020-05,
2020-06,
