month,Null,A_month,B_season,C1_harmonic,C2_harmonic,selected,w_lambda_0.0,w_lambda_0.25,w_lambda_0.5,w_lambda_1.0,w_lambda_2.0,w_lambda_4.0
1,1.0,1.3511957246253954,1.5963412155590748,0.7768552591307611,1.0663417020398582,1.5963412155590748,1.0,0.8840233709452641,0.8108105352134296,0.7235542648813422,0.640697012001919,0.5773593709590301
2,1.0,2.2245155951932274,1.5963412155590748,0.9617599397453004,1.5636905151776315,1.5963412155590748,1.0,0.8840233709452641,0.8108105352134296,0.7235542648813422,0.640697012001919,0.5773593709590301
3,1.0,0.783005987953253,1.5963412155590748,0.9651597495644024,1.1432126908935347,1.5963412155590748,1.0,0.8840233709452641,0.8108105352134296,0.7235542648813422,0.640697012001919,0.5773593709590301
4,1.0,0.45101102386906433,0.5688138353376622,0.784380934471353,0.5714401424424409,0.5688138353376622,1.0,1.0828404493248116,1.1351353319904074,1.1974612393704696,1.2566449914272009,1.3018861636006929
5,1.0,0.49420938248415114,0.5688138353376622,0.5457389238397494,0.3356609440386344,0.5688138353376622,1.0,1.0828404493248116,1.1351353319904074,1.1974612393704696,1.2566449914272009,1.3018861636006929
6,1.0,0.32638839893236443,0.5688138353376622,0.35824998739970026,0.302453315008157,0.5688138353376622,1.0,1.0828404493248116,1.1351353319904074,1.1974612393704696,1.2566449914272009,1.3018861636006929
7,1.0,0.30182468367833387,0.5688138353376622,0.2483771081784061,0.3409320657480662,0.5688138353376622,1.0,1.0828404493248116,1.1351353319904074,1.1974612393704696,1.2566449914272009,1.3018861636006929
8,1.0,0.22473497192152206,0.5688138353376622,0.20062497382370062,0.32618884995247527,0.5688138353376622,1.0,1.0828404493248116,1.1351353319904074,1.1974612393704696,1.2566449914272009,1.3018861636006929
9,1.0,0.3551155772133213,0.5688138353376622,0.19991826516094216,0.23679924279535822,0.5688138353376622,1.0,1.0828404493248116,1.1351353319904074,1.1974612393704696,1.2566449914272009,1.3018861636006929
10,1.0,0.19971737821642155,0.5688138353376622,0.24599407539925586,0.1792125271133565,0.5688138353376622,1.0,1.0828404493248116,1.1351353319904074,1.1974612393704696,1.2566449914272009,1.3018861636006929
11,1.0,0.18463053298774496,1.5963412155590748,0.3535629479724326,0.2174616244311677,1.5963412155590748,1.0,0.8840233709452641,0.8108105352134296,0.7235542648813422,0.640697012001919,0.5773593709590301
12,1.0,0.339346898526393,1.5963412155590748,0.5385989379555973,0.4547133006952319,1.5963412155590748,1.0,0.8840233709452641,0.8108105352134296,0.7235542648813422,0.640697012001919,0.5773593709590301
