period,tmean
1995-01,28.491935483870968
1995-02,29.276785714285715
1995-03,28.230645161290322
1995-04,28.910000000000004
1995-05,28.137096774193548
1995-06,26.705
1995-07,25.927419354838708
1995-08,26.006451612903227
1995-09,26.805
1995-10,27.33709677419355
1995-11,27.92
1995-12,28.393548387096775
1996-01,28.396774193548385
1996-02,28.729310344827585
1996-03,28.78548387096774
1996-04,28.835
1996-05,27.703225806451613
1996-06,26.540000000000003
1996-07,25.662903225806453
1996-08,25.246774193548386
1996-09,25.83
1996-10,27.29193548387097
1996-11,28.193333333333335
1996-12,28.046774193548387
1997-01,28.39516129032258
1997-02,29.06607142857143
1997-03,28.154838709677417
1997-04,27.66166666666667
1997-05,27.31612903225807
1997-06,26.105
1997-07,25.15
1997-08,25.330645161290324
1997-09,27.193333333333335
1997-10,27.7758064516129
1997-11,28.173333333333336
1997-12,28.072580645161292
1998-01,28.520967741935483
1998-02,30.123214285714287
1998-03,30.69677419354839
1998-04,30.46333333333333
1998-05,28.425806451612903
1998-06,27.266666666666666
1998-07,26.261290322580646
1998-08,25.85
1998-09,26.75
1998-10,27.51451612903226
1998-11,28.58833333333333
1998-12,28.183870967741935
1999-01,28.138709677419353
1999-02,28.525000000000002
1999-03,28.866129032258065
1999-04,28.648333333333333
1999-05,28.30483870967742
1999-06,26.853333333333335
1999-07,25.94677419354839
1999-08,25.727419354838712
1999-09,25.80166666666667
1999-10,26.970967741935485
1999-11,28.178333333333335
1999-12,28.57903225806452
2000-01,28.29516129032258
2000-02,29.0051724137931
2000-03,29.467741935483872
2000-04,28.81833333333333
2000-05,28.141935483870967
2000-06,26.665000000000003
2000-07,25.70483870967742
2000-08,25.479032258064517
2000-09,26.388333333333332
2000-10,27.366129032258065
2000-11,27.95
2000-12,27.983870967741936
2001-01,27.988709677419354
2001-02,28.998214285714287
2001-03,28.633870967741935
2001-04,28.493333333333332
2001-05,28.114516129032257
2001-06,26.595000000000002
2001-07,25.956451612903226
2001-08,25.164516129032258
2001-09,25.668333333333337
2001-10,27.372580645161293
2001-11,28.006666666666668
2001-12,28.493548387096777
2002-01,28.04032258064516
2002-02,28.8625
2002-03,29.041935483870965
2002-04,28.711666666666666
2002-05,28.3241935483871
2002-06,26.506666666666668
2002-07,26.00967741935484
2002-08,25.596774193548388
2002-09,26.4
2002-10,27.25
2002-11,28.19
2002-12,28.21129032258065
2003-01,28.546774193548387
2003-02,29.255357142857143
2003-03,29.575806451612905
2003-04,28.336666666666666
2003-05,28.41290322580645
2003-06,26.446666666666665
2003-07,26.13225806451613
2003-08,25.608064516129033
2003-09,26.65
2003-10,27.265873015873016
2003-11,27.881746031746033
2003-12,28.49761904761905
2004-01,28.824671592775044
2004-02,29.151724137931037
2004-03,29.888709677419357
2004-04,28.94
2004-05,27.969354838709677
2004-06,26.496666666666666
2004-07,25.853225806451615
2004-08,25.480645161290322
2004-09,26.863333333333333
2004-10,27.206451612903226
2004-11,28.58
2004-12,28.65483870967742
2005-01,28.166129032258063
2005-02,29.712500000000002
2005-03,29.074193548387097
2005-04,29.53666666666667
2005-05,28.15806451612903
2005-06,26.28166666666667
2005-07,25.937096774193552
2005-08,25.343548387096774
2005-09,26.8
2005-10,27.40806451612903
2005-11,28.311666666666667
2005-12,28.387096774193548
