period,residual
1995-01,
1995-02,
1995-03,
1995-04,
1995-05,
1995-06,
1995-07,
1995-08,
1995-09,
1995-10,
1995-11,
1995-12,
1996-01,0.1241627392953184
1996-02,2.9785334846009803
1996-03,0.386508805285807
1996-04,1.0657971647501405
1996-05,0.18609406101548487
1996-06,0.06442735908829533
1996-07,-0.4941422942837299
1996-08,0.14271755254804575
1996-09,-0.5900262387217516
1996-10,0.10234842797385113
1996-11,-1.5892640484881575
1996-12,-0.6043507105413042
1997-01,-0.14469282656656546
1997-02,-0.5281530262141736
1997-03,2.0347982441067423
1997-04,-0.8046288326985724
1997-05,-0.9526477551673374
1997-06,-0.5324344191249892
1997-07,-0.6097797047381803
1997-08,0.32339656001322226
1997-09,-0.38800400254642753
1997-10,-0.004105148852016072
1997-11,0.11768283680971336
1997-12,-1.4591980565830909
1998-01,-0.45511273067251423
1998-02,3.4688728438638243
1998-03,1.8542533625379463
1998-04,1.9770623978611432
1998-05,-0.25140251176649286
1998-06,0.22772333872596917
1998-07,1.0862354890566728
1998-08,0.2597248720922778
1998-09,0.12420642725069797
1998-10,0.9694119610284986
1998-11,0.35484923451459593
1998-12,-1.9033476378360668
1999-01,-0.0422487796936295
1999-02,0.7132312315573373
1999-03,3.1638408971223377
1999-04,-1.1002934257000128
1999-05,0.4856072408534189
1999-06,-0.4749654034780306
1999-07,-0.663438569521638
1999-08,-0.27313202347833965
1999-09,-0.8300660093962478
1999-10,-0.4658619054974942
1999-11,0.7898109276011418
1999-12,-3.498645595865792
2000-01,0.7355091047292568
2000-02,-2.0872855127596743
2000-03,2.6973941408442776
2000-04,0.36360422092364786
2000-05,-0.8158353539572154
2000-06,-2.023204029255691
2000-07,0.2917033887398901
2000-08,-0.5141690083802644
2000-09,-0.7491391660446283
2000-10,0.21013245648605405
2000-11,0.4892612671612042
2000-12,-2.881733811470262
2001-01,-0.8501048426644111
2001-02,1.0238940786552426
2001-03,3.1468913141449804
2001-04,-0.8141044896482938
2001-05,-0.2997913318871248
2001-06,0.03259126830671377
2001-07,-0.20039350823363478
2001-08,-0.2748673783618365
2001-09,-0.12364607544226658
2001-10,1.709479124161298
2001-11,0.19130472695172074
2001-12,-1.3282933007716338
2002-01,-1.1000045492905954
2002-02,2.2675866776613525
