period,observed,Persistence,Climatology,ARIMA,LSTM,ARIMA-LSTM,ARIMA-LSTM-SVAO,LSTM_ensemble_sd,hybrid_ensemble_sd
2021-01,29.116129032258065,29.05,28.569709509684486,29.500594024866,29.166679016197882,29.496124915085232,29.495219909439687,0.09504914337809628,0.0434749601263473
2021-02,29.803571428571427,29.116129032258065,29.172370886539408,29.27522061328854,29.385048330406995,29.472392892724983,29.475246283033165,0.04568334489722604,0.1076037896067274
2021-03,29.56451612903226,29.803571428571427,29.21895559946172,29.695957741704387,29.84335744753961,29.900495405259672,29.869014681168185,0.03308074178319788,0.0836067001300918
2021-04,29.988333333333333,29.56451612903226,29.030714285714286,29.18217677390993,29.68066331759576,29.40553780411013,29.39681558931266,0.08168036574966141,0.1005424890049343
2021-05,29.466129032258067,29.988333333333333,28.2426267281106,29.39639130648251,29.33907593515612,29.34896524190029,29.33052571276906,0.11635127315073225,0.1143961017142029
2021-06,28.09666666666667,29.466129032258067,26.69849206349206,28.73372236111226,28.07479786772882,28.570492800195414,28.56066797798972,0.241188368682263,0.1734635315444522
2021-07,27.056451612903224,28.09666666666667,25.983179723502303,27.447240202624744,27.04866772834332,27.4713573421447,27.51236799779025,0.19615641589006697,0.0572952005071695
2021-08,26.983870967741936,27.056451612903224,25.669278033794164,26.75859702358497,26.458493639288413,26.94378201888723,26.976177654781235,0.12065981265967624,0.1459854901978482
2021-09,27.293333333333337,26.983870967741936,26.539920634920637,27.13452417659839,26.778216806900115,27.363492300193247,27.363817639243152,0.07551314659326082,0.1185720969620216
2021-10,29.85483870967742,27.293333333333337,27.48608611903543,27.78189859678504,27.67256736240079,28.02263606906078,28.00646046176045,0.08174596136549013,0.1028467272685061
2021-11,29.140476190476196,29.85483870967742,28.350797430083144,30.316394701702187,29.543055435995903,30.38845930935349,30.337774300812825,0.12965271842223106,0.1586078427614833
2021-12,29.85483870967742,29.140476190476196,28.557413503035622,29.31832665037302,29.2121425773636,29.19040013028267,29.219175535043817,0.1200216296709316,0.1209611736059095
2022-01,29.68870967741936,29.85483870967742,28.569709509684486,29.72634134037142,29.600189423561098,29.414504722109527,29.428534134433864,0.08112743714185583,0.2697019899790433
2022-02,29.84375,29.68870967741936,29.172370886539408,29.328866459359176,29.66804976467164,29.45809126112222,29.529580971976767,0.060561985099551005,0.2278174385588862
2022-03,30.07258064516129,29.84375,29.21895559946172,29.283711530069205,29.648679055244695,29.570096156552943,29.577318683460767,0.06710331714534515,0.1826300036005301
2022-04,28.790000000000003,30.07258064516129,29.030714285714286,29.36124199167053,29.450752496181003,29.669062290529357,29.637077290910515,0.03140345494538786,0.118697787562804
2022-05,28.624193548387098,28.790000000000003,28.2426267281106,28.096032326652903,27.916085309905394,28.157334885373977,28.199644811712403,0.22587172443741022,0.1681509972333821
2022-06,27.315,28.624193548387098,26.69849206349206,28.0781188398632,27.391028698740467,27.82229225875137,27.8243365767236,0.2144898590801299,0.2314936143138844
2022-07,26.36774193548387,27.315,25.983179723502303,27.122715829288325,26.827867766849458,27.065279853778108,27.110561627206984,0.08116531980271713,0.08613195252315
2022-08,25.546774193548387,26.36774193548387,25.669278033794164,26.643763528030487,26.435864571852072,26.830870109233903,26.828718700491088,0.06665399222755347,0.110228493809508
2022-09,26.23333333333333,25.546774193548387,26.539920634920637,26.38984247690809,26.473709234326115,26.678534090936708,26.66149258124203,0.10222363877873866,0.1499035279821169
2022-10,27.825806451612905,26.23333333333333,27.48608611903543,27.528417433937705,27.45728501137226,27.77881914440092,27.73450275203743,0.13439261804660996,0.1042111207583973
2022-11,28.751666666666665,27.825806451612905,28.350797430083144,29.24303061093009,28.694116138758204,29.254784866553766,29.209522384062147,0.13484678116251317,0.0933658511396903
2022-12,29.175806451612903,28.751666666666665,28.557413503035622,29.93532383411353,29.096221219032042,29.919265146332016,29.854539359455337,0.0699869328876493,0.1861712055448539
2023-01,29.493548387096777,29.175806451612903,28.569709509684486,29.93729356803425,29.37718185736287,29.768281105505395,29.74124188509709,0.06032197361838915,0.1900797340357306
2023-02,29.785714285714285,29.493548387096777,29.172370886539408,29.8148760815764,29.779904090050728,29.894112746872658,29.927571574097687,0.026857041390925356,0.1276384300866575
2023-03,29.2241935483871,29.785714285714285,29.21895559946172,29.707046522539816,30.045885424537044,29.951819241787707,29.951695779789283,0.08350287133999616,0.1453806780440107
2023-04,29.57,29.2241935483871,29.030714285714286,28.87255864094392,29.551824561780506,29.14739331405479,29.12839247078714,0.12558427595293406,0.1290340816038868
2023-05,29.09193548387097,29.57,28.2426267281106,29.03592121571984,28.826103332773336,29.200955627894125,29.140191469602023,0.14098390491453625,0.1016308344309811
2023-06,27.23,29.09193548387097,26.69849206349206,28.487363540535185,27.570894523166846,28.39532733996653,28.34924744311203,0.15355366440210313,0.1187708285282334
2023-07,27.29516129032258,27.23,25.983179723502303,26.794874797354943,26.44260625950752,26.57981966426672,26.563894213498678,0.11725412167119871,0.1786274504363312
2023-08,26.59032258064516,27.29516129032258,25.669278033794164,27.1954222526027,26.726267904177792,27.1454461346662,27.159302137105925,0.07797957391528802,0.1085603571886382
2023-09,27.05166666666667,26.59032258064516,26.539920634920637,26.88941306004256,26.88604781246955,27.162869838856817,27.182245656234542,0.0736585966667735,0.1764702965130287
2023-10,30.208064516129035,27.05166666666667,27.48608611903543,27.64828196495568,27.682200232225078,27.867647789912947,27.86208991447712,0.09612348249608352,0.1171262131796012
