Station,Model,Season,RMSE
KIAMO-Accra,LSTM+,Dry,0.5265249303245234
KIAMO-Accra,LSTM+,Rainy,0.6834741253949175
KIAMO-Accra,LSTM+SVAO,Dry,0.5265249303245234
KIAMO-Accra,LSTM+SVAO,Rainy,0.6834741253949175
KIAMO-Accra,LSTM+E,Dry,0.7350176354684979
KIAMO-Accra,LSTM+E,Rainy,0.8252484139259297
KIAMO-Accra,Hybrid+SVAO,Dry,0.42066064902814626
KIAMO-Accra,Hybrid+SVAO,Rainy,0.6784810192125794
KIAMO-Accra,Hybrid+SVAO+E,Dry,0.6153208342576144
KIAMO-Accra,Hybrid+SVAO+E,Rainy,0.7148171701426995
KIAMO-Accra,GRU+,Dry,0.4879723213019602
KIAMO-Accra,GRU+,Rainy,0.6780598147351218
KIAMO-Accra,SVR,Dry,0.47588093630262635
KIAMO-Accra,SVR,Rainy,0.8140997635188403
KIAMO-Accra,XGBoost,Dry,0.5328540725278732
KIAMO-Accra,XGBoost,Rainy,0.8179557412669126
Koforidua,LSTM+,Dry,0.6509098813780992
Koforidua,LSTM+,Rainy,0.45265378145420465
Koforidua,LSTM+SVAO,Dry,0.6509098813780992
Koforidua,LSTM+SVAO,Rainy,0.45265378145420465
Koforidua,LSTM+E,Dry,0.6797647791859879
Koforidua,LSTM+E,Rainy,0.48992828014964934
Koforidua,Hybrid+SVAO,Dry,0.6849356783357582
Koforidua,Hybrid+SVAO,Rainy,0.43622631766714487
Koforidua,Hybrid+SVAO+E,Dry,0.6829513868904767
Koforidua,Hybrid+SVAO+E,Rainy,0.462290207667448
Koforidua,GRU+,Dry,0.6310264834576348
Koforidua,GRU+,Rainy,0.4403930612374578
Koforidua,SVR,Dry,0.7432484958426446
Koforidua,SVR,Rainy,0.5041687003540455
Koforidua,XGBoost,Dry,0.8293104300123264
Koforidua,XGBoost,Rainy,0.5756896716578324
Kumasi,LSTM+,Dry,0.4773531743305023
Kumasi,LSTM+,Rainy,0.4748724339550165
Kumasi,LSTM+SVAO,Dry,0.4773531743305023
Kumasi,LSTM+SVAO,Rainy,0.4748724339550165
Kumasi,LSTM+E,Dry,0.6440226957674193
Kumasi,LSTM+E,Rainy,0.5478331092297266
Kumasi,Hybrid+SVAO,Dry,0.639712847930988
Kumasi,Hybrid+SVAO,Rainy,0.47790383924769636
Kumasi,Hybrid+SVAO+E,Dry,0.7241677031410315
Kumasi,Hybrid+SVAO+E,Rainy,0.5597607297575584
Kumasi,GRU+,Dry,0.5422891751144395
Kumasi,GRU+,Rainy,0.4388466322593505
Kumasi,SVR,Dry,0.4791885284367698
Kumasi,SVR,Rainy,0.5059825862944535
Kumasi,XGBoost,Dry,0.8170957876763165
Kumasi,XGBoost,Rainy,0.49362141358207917
Navrongo,LSTM+,Dry,0.8130432224297819
Navrongo,LSTM+,Rainy,0.5993148832462073
Navrongo,LSTM+SVAO,Dry,0.8130432224297819
Navrongo,LSTM+SVAO,Rainy,0.5993148832462073
Navrongo,LSTM+E,Dry,0.7967354255479248
Navrongo,LSTM+E,Rainy,0.5974374059473226
Navrongo,Hybrid+SVAO,Dry,0.7866104261871931
Navrongo,Hybrid+SVAO,Rainy,0.5278656348062304
Navrongo,Hybrid+SVAO+E,Dry,0.7943413818284728
Navrongo,Hybrid+SVAO+E,Rainy,0.5519848300200922
Navrongo,GRU+,Dry,0.8117214609367425
Navrongo,GRU+,Rainy,0.5775094089852502
Navrongo,SVR,Dry,0.8053261640412035
Navrongo,SVR,Rainy,0.6099384560708576
Navrongo,XGBoost,Dry,0.9695291991890734
Navrongo,XGBoost,Rainy,0.6741788556289096
Tamale,LSTM+,Dry,0.9282186408376507
Tamale,LSTM+,Rainy,1.0044600511830262
Tamale,LSTM+SVAO,Dry,0.9282186408376507
Tamale,LSTM+SVAO,Rainy,1.0044600511830262
Tamale,LSTM+E,Dry,0.9739984861910963
Tamale,LSTM+E,Rainy,1.0062180692653322
Tamale,Hybrid+SVAO,Dry,1.0161394478271406
Tamale,Hybrid+SVAO,Rainy,0.9859081279491648
Tamale,Hybrid+SVAO+E,Dry,1.0700544262014295
Tamale,Hybrid+SVAO+E,Rainy,0.9426408566446769
Tamale,GRU+,Dry,0.9119951430527591
Tamale,GRU+,Rainy,0.9489712530785133
Tamale,SVR,Dry,0.8407427284632899
Tamale,SVR,Rainy,0.9704734372629679
Tamale,XGBoost,Dry,1.1796758591991936
Tamale,XGBoost,Rainy,1.0449020635278696
Wa,LSTM+,Dry,1.2428812425998528
Wa,LSTM+,Rainy,1.151891119438467
Wa,LSTM+SVAO,Dry,1.2428812425998528
Wa,LSTM+SVAO,Rainy,1.151891119438467
Wa,LSTM+E,Dry,1.376397507712767
Wa,LSTM+E,Rainy,1.1275989608769412
Wa,Hybrid+SVAO,Dry,1.2953727204485088
Wa,Hybrid+SVAO,Rainy,0.9863846781848847
Wa,Hybrid+SVAO+E,Dry,1.3491828520300437
Wa,Hybrid+SVAO+E,Rainy,1.1975368238548232
Wa,GRU+,Dry,1.3138494615969243
Wa,GRU+,Rainy,0.9733656083974354
Wa,SVR,Dry,1.1700968097928266
Wa,SVR,Rainy,0.6794927745786798
Wa,XGBoost,Dry,1.283780573460046
Wa,XGBoost,Rainy,0.7883020222417009
