,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ratio_max_min,peak_month
KIAMO-Accra,0.5921218355075005,0.5699734129423211,0.5929494865057016,0.652007719874647,0.5479408079219164,0.5557923209217822,0.49799204002509634,0.5356286995392193,0.4780303596585425,0.7058279651441324,0.46346423873698606,0.5929558488449127,1.52,Oct
Koforidua,0.7182141735087045,0.77243256348898,0.6283879891963189,0.5346804172627495,0.4641915896403216,0.4385254243267143,0.33563700992162343,0.41201764122212936,0.3580785215135851,0.2798654713325085,0.40678253094722744,0.6048717974678378,2.76,Feb
Kumasi,0.8201933639162376,0.8202499945633016,0.6249595032749483,0.5996956077128069,0.5177757598558547,0.43916594421709293,0.5354209347829118,0.6051709036636804,0.47828018357308877,0.5176472096430688,0.5517829686067199,0.7605310810002118,1.87,Feb
Navrongo,0.909077296873005,0.9240370606237169,0.7644203864866648,0.7827597659648099,0.8334783731591641,0.605820616684429,0.36093056017097414,0.3157960906042986,0.33808774092229593,0.5526874398555872,0.6755399335257645,0.7441792437172484,2.93,Feb
Tamale,1.1286916884951437,1.123676501630373,0.7940778539611854,1.02296756528433,0.8424222608495928,0.6459054641097942,0.5831783855326136,0.6709933604222178,0.6014322578738518,0.7273108015847951,0.9769779633169072,0.8761033797411788,1.94,Jan
Wa,1.0157628693849399,0.9831831035010375,0.5392124194778447,0.7706941546375482,0.6592433067548478,0.6202585905809394,0.5937471955128142,0.4962074232334171,0.5263115670652793,0.6349981769491536,0.6518064611181641,0.8644138847852497,2.05,Jan
