lambda,mean_val_mse,wins,p_raw,p_holm
0.0,0.006527616983900467,,,
0.25,0.006424564868211746,18.0,0.049710121005773544,0.24855060502886772
0.5,0.00661551437806338,16.0,0.4521643426269293,1.0
1.0,0.006651708312953512,17.0,0.6263462882488966,1.0
2.0,0.006622376937108735,15.0,0.9032264724373817,1.0
4.0,0.006610135470206539,13.0,0.761065473780036,1.0
