A,B,A_better,sig_for_A,sig_for_B,median_p
Hybrid+SVAO,Hybrid+,3,1,0,0.2253795753467055
Hybrid+SVAO,LSTM+,3,2,1,0.050488885901637026
Hybrid+,LSTM+,3,0,0,0.08346056247490341
Hybrid+SVAO,Climatology,5,5,1,5.364185655942766e-05
LSTM+,Climatology,5,4,1,4.55612188288157e-06
Hybrid+,ARIMA-LSTM,5,1,0,0.44018733384988185
Hybrid+SVAO,ARIMA-LSTM-SVAO,5,1,0,0.2428789722585314
LSTM+,LSTM,3,0,0,0.2951034671411401
Hybrid+SVAO,ARIMA,6,3,0,0.033615958881856756
