Station,lambda,restart,seed,val_mse,epochs
Navrongo,0.5,3,3042,0.006186041980981827,116
Navrongo,0.5,4,4042,0.00524330697953701,154
Navrongo,1.0,0,42,0.007058534771203995,95
Navrongo,1.0,1,1042,0.0031275134533643723,180
Navrongo,1.0,2,2042,0.0051945047453045845,109
Navrongo,1.0,3,3042,0.005689255427569151,102
Navrongo,1.0,4,4042,0.005369243677705526,90
Navrongo,2.0,0,42,0.005575146060436964,118
Navrongo,2.0,1,1042,0.005309260915964842,86
Navrongo,2.0,2,2042,0.004938449244946241,104
Navrongo,2.0,3,3042,0.0050397212617099285,117
Navrongo,2.0,4,4042,0.005847652908414602,93
Navrongo,4.0,0,42,0.004848851356655359,135
Navrongo,4.0,1,1042,0.0054394640028476715,98
Navrongo,4.0,2,2042,0.005544572602957487,73
Navrongo,4.0,3,3042,0.01714601181447506,32
Navrongo,4.0,4,4042,0.005834411364048719,88
Tamale,0.0,0,42,0.013588574714958668,141
Tamale,0.0,1,1042,0.011723662726581097,181
Tamale,0.0,2,2042,0.011832990683615208,181
Tamale,0.0,3,3042,0.007470201700925827,300
Tamale,0.0,4,4042,0.013085844926536083,91
Tamale,0.25,0,42,0.01406871248036623,106
Tamale,0.25,1,1042,0.011119924485683441,169
Tamale,0.25,2,2042,0.013217505998909473,133
Tamale,0.25,3,3042,0.0130044249817729,149
Tamale,0.25,4,4042,0.013783001340925694,130
Tamale,0.5,0,42,0.016037892550230026,88
Tamale,0.5,1,1042,0.008037392981350422,206
Tamale,0.5,2,2042,0.01291638519614935,138
Tamale,0.5,3,3042,0.010659712366759777,151
Tamale,0.5,4,4042,0.015837544575333595,69
Tamale,1.0,0,42,0.012544762343168259,185
Tamale,1.0,1,1042,0.011416617780923843,214
Tamale,1.0,2,2042,0.014149907045066357,165
Tamale,1.0,3,3042,0.017704321071505547,93
Tamale,1.0,4,4042,0.015037250705063343,140
Tamale,2.0,0,42,0.014230781234800816,146
Tamale,2.0,1,1042,0.014971766620874405,136
Tamale,2.0,2,2042,0.012357518076896667,144
Tamale,2.0,3,3042,0.015157737769186497,150
Tamale,2.0,4,4042,0.016667524352669716,130
Tamale,4.0,0,42,0.01580164022743702,137
Tamale,4.0,1,1042,0.02487981878221035,73
Tamale,4.0,2,2042,0.0100284768268466,144
Tamale,4.0,3,3042,0.015989400446414948,145
Tamale,4.0,4,4042,0.016870124265551567,97
Wa,0.0,0,42,0.013191263191401958,128
Wa,0.0,1,1042,0.013044778257608414,69
Wa,0.0,2,2042,0.011395827867090702,158
Wa,0.0,3,3042,0.012888713739812374,107
Wa,0.0,4,4042,0.01295270211994648,80
Wa,0.25,0,42,0.012748617678880692,112
Wa,0.25,1,1042,0.01271930430084467,78
Wa,0.25,2,2042,0.011015399359166622,145
Wa,0.25,3,3042,0.013761614449322224,57
Wa,0.25,4,4042,0.013153200969099998,80
Wa,0.5,0,42,0.013081870973110199,106
Wa,0.5,1,1042,0.011590111069381237,92
Wa,0.5,2,2042,0.01219191588461399,145
Wa,0.5,3,3042,0.012959083542227745,96
Wa,0.5,4,4042,0.012401862069964409,80
Wa,1.0,0,42,0.012850545346736908,110
Wa,1.0,1,1042,0.012625868432223797,107
Wa,1.0,2,2042,0.011741450987756252,120
Wa,1.0,3,3042,0.012860552407801151,96
Wa,1.0,4,4042,0.013054991140961647,73
Wa,2.0,0,42,0.012107925489544868,124
Wa,2.0,1,1042,0.011202335357666016,113
Wa,2.0,2,2042,0.01267197635024786,91
Wa,2.0,3,3042,0.013552832417190075,96
Wa,2.0,4,4042,0.01330474391579628,69
Wa,4.0,0,42,0.011455373838543892,150
Wa,4.0,1,1042,0.010876374319195747,92
Wa,4.0,2,2042,0.012834427878260612,79
Wa,4.0,3,3042,0.01360790990293026,96
Wa,4.0,4,4042,0.012956663966178894,69
